year,month,pc1_hf,SP500_hf,MP_pm,CBI_pm,MP_median,CBI_median
1990,2,-0.00033737,-0.1519,-0,-0.00033737,0.00890489,-0.00924226
1990,3,-0.02756759,-0.17591,-0,-0.02756759,-0.00327601,-0.02429158
1990,4,0,0,0,0,0,0
1990,5,-0.012321,0.05109,-0.012321,-0,-0.0092123,-0.0031087
1990,6,0,0,0,0,0,0
1990,7,-0.07178093,0.03229,-0.07178093,0,-0.03781927,-0.03396166
1990,8,0,0.19733,0,0,-0.01178729,0.01178729
1990,9,0,0,0,0,0,0
1990,10,-0.01148469,-0.64347,-0,-0.01148469,0.03269462,-0.04417931
1990,11,0.00457973,-0.34311,0.00911959,-0.00453986,0.02278516,-0.01820543
1990,12,-0.15002842,0.83762,-0.17037876,0.02035034,-0.12504851,-0.02497991
1991,1,-0.12813197,0.36169,-0.12813197,-0,-0.08567114,-0.04246083
1991,2,-0.1268445,-0.00101000000000001,-0.06003895,-0.06680555,-0.06336192,-0.06348258
1991,3,-0.10539962,0.60768,-0.10539962,-0,-0.0889989,-0.01640072
1991,4,-0.1912754,0.63409,-0.1912754,0,-0.13351436,-0.05776104
1991,5,0.00290192,-0.24255,0.00290192,0,0.01593942,-0.0130375
1991,6,0,0,0,0,0,0
1991,7,0.01294409,-0.00533,0.01294409,0,0.00679043,0.00615366
1991,8,-0.09230807,0.48297,-0.14507516,0.05276709,-0.07500372,-0.01730435
1991,9,0.00253691,-0.02151,0.00253691,0,0.00255333,-1.64200000000001e-05
1991,10,-0.02077451,-0.01814,-0.02077451,0,-0.00930368,-0.01147083
1991,11,-0.1021604,0.0746,-0.11696101,0.01480061,-0.05553635,-0.04662405
1991,12,-0.28322827,0.36832,-0.33373407,0.0505058,-0.16361532,-0.11961295
1992,1,0,0,0,0,0,0
1992,2,0.00476936,0.03621,0,0.00476936,0.00022172,0.00454764
1992,3,0,0,0,0,0,0
1992,4,-0.26641682,0.61127,-0.26641682,0,-0.16972195,-0.09669487
1992,5,0.01273172,-0.04802,0.01273172,0,0.00923428,0.00349744
1992,6,0,0,0,0,0,0
1992,7,-0.07172939,0.22288,-0.07172939,-0,-0.04917819,-0.0225512
1992,8,0.00527482,0.02617,0,0.00527482,0.00107417,0.00420065
1992,9,-0.00450728,-0.00719,-0,-0.00450728,-0.00182415,-0.00268313
1992,10,0.00268334,-0.19372,0.00268334,0,0.01291332,-0.01022998
1992,11,-0.00945811,0.19022,-0.00945811,-0,-0.01609164,0.00663353
1992,12,-0.00986077,-0.07718,-0,-0.00986077,-0.00032012,-0.00954065
1993,1,0,0,0,0,0,0
1993,2,-0.00801744,-0.05131,-0,-0.00801744,-0.00094377,-0.00707367
1993,3,0.00907973,-0.0844,0.00907973,0,0.00958141,-0.00050168
