start,pc1,SP500,MP_pm,CBI_pm,MP_median,CBI_median
1990-02-08 11:30,-0.00050427,-0.1519,-0,-0.00050427,0.00879682,-0.00930109
1990-03-28 11:30,-0.02653909,-0.17591,-0,-0.02653909,-0.00279028,-0.02374881
1990-05-16 11:30,-0.01182232,0.05109,-0.01182232,-0,-0.00895468,-0.00286764
1990-07-05 11:30,0.00177245,-0.00841,0.00177245,0,0.00138722,0.00038523
1990-07-13 11:30,-0.07168258,0.0407,-0.07168258,-0,-0.03826586,-0.03341672
1990-08-22 11:30,0,0.19733,0,0,-0.0117553,0.0117553
1990-10-03 11:30,-0.00302604,-0.1207,-0,-0.00302604,0.00567729,-0.00870333
1990-10-29 11:30,-0.0082768,-0.52277,-0,-0.0082768,0.02700393,-0.03528073
1990-11-14 11:30,0.00395494,-0.01568,0.00395494,0,0.00291156,0.00104338
1990-11-15 11:30,-0.00442427,-0.1537,-0,-0.00442427,0.00694405,-0.01136832
1990-11-16 11:30,0.00486575,-0.17373,0.00486575,0,0.01278228,-0.00791653
1990-12-07 11:30,-0.04296746,0.08546,-0.04296746,-0,-0.02657473,-0.01639273
1990-12-18 15:30,-0.1221734,0.71884,-0.1221734,-0,-0.10390927,-0.01826413
1990-12-19 11:30,0.01926413,0.03332,0,0.01926413,0.00764713,0.011617
1991-01-08 11:30,-0.1238699,0.36169,-0.1238699,-0,-0.08348146,-0.04038844
1991-02-01 09:15,-0.05732123,-0.04952,-0,-0.05732123,-0.02571062,-0.03161061
1991-02-01 11:30,-0.05855565,0.27469,-0.05855565,-0,-0.04564159,-0.01291406
1991-02-07 11:30,-0.00739716,-0.22618,-0,-0.00739716,0.00977536,-0.01717252
1991-03-08 11:30,-0.06322843,0.48314,-0.06322843,-0,-0.06039572,-0.00283271
1991-03-27 11:30,-0.0384827,0.12454,-0.0384827,-0,-0.02666042,-0.01182228
1991-04-30 09:30,-0.21133047,0.87611,-0.21133047,-0,-0.15785666,-0.05347381
1991-04-30 11:30,0.02639552,-0.24202,0.02639552,0,0.02761532,-0.0012198
1991-05-15 11:30,0.00266705,-0.24255,0.00266705,0,0.01578266,-0.01311561
1991-07-05 11:30,0.01238421,-0.00533,0.01238421,0,0.00650962,0.00587459
1991-08-06 11:30,-0.14024658,0.36092,-0.14024658,-0,-0.09162393,-0.04862265
1991-08-21 11:30,0.05111833,0.12205,0,0.05111833,0.01828843,0.0328299
1991-09-13 09:10,-0.00702777,0.11105,-0.00702777,-0,-0.01012933,0.00310156
1991-09-13 11:30,0.00929002,-0.13256,0.00929002,0,0.01254184,-0.00325182
1991-10-02 11:30,0.00044317,-0.04619,0.00044317,0,0.0029732,-0.00253003
1991-10-30 11:30,-0.02078319,0.02805,-0.02078319,-0,-0.01206258,-0.00872061
1991-11-06 08:45,-0.11321626,0.06689,-0.11321626,-0,-0.06059289,-0.05262337
1991-11-06 11:30,0.01415577,0.00771,0,0.01415577,0.00661859,0.00753718
1991-12-06 11:30,0.00884944,0.0237,0,0.00884944,0.00301287,0.00583657
1991-12-18 11:30,0.0314363,0.00262,0,0.0314363,0.01556207,0.01587423
1991-12-20 08:30,-0.32255789,0.31868,-0.32255789,-0,-0.18026328,-0.14229461
1991-12-20 11:30,0.00860853,0.02332,0,0.00860853,0.00291505,0.00569348
1992-02-06 11:30,0.00456323,0.03621,0,0.00456323,0.00012452,0.00443871
1992-04-01 11:30,0.00360171,-0.14205,0.00360171,0,0.01026302,-0.00666131
1992-04-09 11:30,-0.26069538,0.75332,-0.26069538,-0,-0.17522429,-0.08547109
1992-05-20 11:30,0.01226025,-0.04802,0.01226025,0,0.00899076,0.00326949
1992-07-02 09:15,-0.07145685,0.22288,-0.07145685,-0,-0.04900578,-0.02245107
1992-08-19 11:30,0.00520688,0.02617,0,0.00520688,0.00104445,0.00416243
1992-09-04 11:30,-0.00430386,-0.00719,-0,-0.00430386,-0.00172361,-0.00258025
1992-10-07 11:30,0.00265272,-0.19372,0.00265272,0,0.0128666,-0.01021388
1992-11-18 11:30,-0.00915974,0.19022,-0.00915974,-0,-0.01591161,0.00675187
1992-12-23 11:30,-0.00951851,-0.07718,-0,-0.00951851,-0.00016151,-0.009357
1993-02-04 11:30,-0.00783774,-0.05131,-0,-0.00783774,-0.00086224,-0.0069755
1993-03-24 11:30,0.00884855,-0.0844,0.00884855,0,0.00945213,-0.00060358
1993-05-19 11:30,-0.02370848,0.16628,-0.02370848,-0,-0.02175983,-0.00194865
1993-07-08 11:30,0.00223495,0.31433,0,0.00223495,-0.01760772,0.01984267
1993-08-18 11:30,0.00265272,-0.05693,0.00265272,0,0.00471778,-0.00206506
1993-09-22 11:30,0.00309419,0.0022,0,0.00309419,0.00141604,0.00167815
1993-11-17 11:30,-0.00078458,0.04721,-0.00078458,-0,-0.00320467,0.00242009
1993-12-22 11:30,-0.02034981,0.01719,-0.02034981,-0,-0.01119894,-0.00915087
1994-02-04 11:05,0.13271594,-0.64105,0.13271594,0,0.10454645,0.02816949
1994-03-22 14:20,-0.0307243,0.29613,-0.0307243,-0,-0.03300314,0.00227884
1994-04-18 10:06,0.12869578,-0.68128,0.12869578,0,0.10493294,0.02376284
1994-05-17 14:26,-0.01404971,0.52219,-0.01404971,-0,-0.03813264,0.02408293
1994-07-06 14:18,-0.01584849,-0.22844,-0,-0.01584849,0.00568433,-0.02153282
1994-08-16 13:18,0.03659955,0.25704,0,0.03659955,0.00298745,0.0336121
1994-09-27 14:18,-0.03127062,-0.17136,-0,-0.03127062,-0.00542709,-0.02584353
1994-11-15 14:20,0.06367462,-0.44889,0.06367462,0,0.05857848,0.00509614
1994-12-20 14:17,-0.04890556,0.10486,-0.04890556,-0,-0.03069948,-0.01820608
1995-02-01 14:15,0.0537914,-0.25438,0.0537914,0,0.04204957,0.01174183
1995-03-28 14:15,0.01769294,-0.15511,0.01769294,0,0.01808665,-0.00039371
1995-05-23 14:15,-0.00960842,-0.04189,-0,-0.00960842,-0.00230875,-0.00729967
1995-07-06 14:15,-0.23900404,0.2993,-0.23900404,-0,-0.13733185,-0.10167219
1995-08-22 14:15,0.04159887,-0.18269,0.04159887,0,0.0316826,0.00991627
1995-09-26 14:15,0.06071908,-0.16138,0.06071908,0,0.03997323,0.02074585
1995-11-15 14:15,0.02375937,-0.06111,0.02375937,0,0.01552012,0.00823925
1995-12-19 14:15,-0.05269629,0.25709,-0.05269629,-0,-0.04166345,-0.01103284
1996-01-31 14:15,-0.04346736,0.05541,-0.04346736,-0,-0.02503455,-0.01843281
1996-03-26 11:39,0.01725172,0.15989,0,0.01725172,-0.00089907,0.01815079
1996-05-21 14:15,0.01721586,-0.19289,0.01721586,0,0.02009873,-0.00288287
1996-07-03 14:15,-0.02931495,0.1534,-0.02931495,-0,-0.02379578,-0.00551917
1996-08-20 14:15,-0.00304802,-0.1306,-0,-0.00304802,0.00625606,-0.00930408
1996-09-24 14:15,-0.11176334,0.00873,-0.11176334,-0,-0.05640173,-0.05536161
1996-11-13 14:15,-0.01447504,0.25457,-0.01447504,-0,-0.0224027,0.00792766
1996-12-17 14:15,-0.00518502,-0.06073,-0,-0.00518502,0.00102528,-0.0062103
1997-02-05 14:15,0.00137688,-0.30367,0.00137688,0,0.0187786,-0.01740172
1997-03-25 14:15,0.06224973,-0.45395,0.06224973,0,0.05816747,0.00408226
1997-05-20 14:15,-0.07631313,0.48372,-0.07631313,-0,-0.06697262,-0.00934051
1997-07-02 14:15,-0.01119697,0.1788,-0.01119697,-0,-0.01624992,0.00505295
1997-08-19 14:15,0.00581173,-0.37221,0.00581173,0,0.02507907,-0.01926734
1997-09-30 14:13,-0.0103305,-0.19196,-0,-0.0103305,0.00627015,-0.01660065
1997-11-12 14:12,-0.03479707,-0.3511,-0,-0.03479707,0.00351711,-0.03831418
1997-12-16 14:15,-0.00414519,-0.08456,-0,-0.00414519,0.00296479,-0.00710998
1998-02-04 14:12,0.02283734,-0.19164,0.02283734,0,0.022835,2.34e-06
1998-03-31 14:12,-0.00037977,-0.13567,-0,-0.00037977,0.00789222,-0.00827199
1998-05-19 14:15,-0.02050151,-0.12953,-0,-0.02050151,-0.00253442,-0.01796709
1998-07-01 14:15,-0.01734032,0.02716,-0.01734032,-0,-0.01028813,-0.00705219
1998-08-18 14:12,0.00619678,0.04839,0,0.00619678,0.00021571,0.00598107
1998-09-29 14:15,0.03607705,-0.6975,0.03607705,0,0.05958983,-0.02351278
1998-10-15 15:15,-0.20015769,2.09497,-0.20015769,-0,-0.22487991,0.02472222
1998-11-17 14:15,-0.03348512,0.63962,-0.03348512,-0,-0.05484585,0.02136073
1998-12-22 14:15,-0.00814286,-0.1237,-0,-0.00814286,0.0032976,-0.01144046
