start,description,FF1,FF2,FF3,FF4,MP1,ED1,ED2,ED3,ED4,TFUT02,TFUT05,TFUT10,TFUT30,SP500,SP500FUT,EUR
1988-02-04 11:30:00,"FOMC Rate Decision (Unscheduled)",NaN,NaN,NaN,NaN,NaN,-0.02,-0.02,-0.02,-0.01,NaN,NaN,-0.0091,-0.00333,0.11527,0.25766,NaN
1988-02-05 11:30:00,"FOMC Rate Decision (Unscheduled)",NaN,NaN,NaN,NaN,NaN,0.02,0.01,0.01,0.01,NaN,NaN,0.00449,0.00326,-0.16188,-0.19681,NaN
1988-02-11 11:30:00,"FOMC Rate Decision (Scheduled)",NaN,NaN,NaN,NaN,NaN,0.01,0,-0.01,-0.02,NaN,NaN,0.00452,0.00331,-0.04682,-0.11685,NaN
1988-04-04 11:30:00,"FOMC Rate Decision (Unscheduled)",NaN,NaN,NaN,NaN,NaN,0.02,0.01,0.01,0.01,NaN,NaN,-0.00473,-0.00719,-0.23604,-0.25109,NaN
1988-04-05 11:30:00,"FOMC Rate Decision (Unscheduled)",NaN,NaN,NaN,NaN,NaN,0.03,0.03,0.04,0.03,NaN,NaN,0.00945,0.00717,-0.06204,0,NaN
1988-04-06 11:30:00,"FOMC Rate Decision (Unscheduled)",NaN,NaN,NaN,NaN,NaN,-0.01,-0.02,-0.02,-0.03,NaN,NaN,-0.01417,-0.00715,-0.16636,-0.21229,NaN
1988-05-09 11:30:00,"FOMC Rate Decision (Unscheduled)",NaN,NaN,NaN,NaN,NaN,0.02,0.02,0.03,0.02,NaN,NaN,0.01448,0.00741,-0.0428,0.0194,NaN
1988-05-10 11:30:00,"FOMC Rate Decision (Unscheduled)",NaN,NaN,NaN,NaN,NaN,0,0.02,0,0,NaN,NaN,0,-0.0037,0.09705,0.0967,NaN
1988-05-18 11:30:00,"FOMC Rate Decision (Scheduled)",NaN,NaN,NaN,NaN,NaN,0.02,0.02,0.01,0.02,NaN,NaN,0.00978,0.01139,-0.15283,-0.13719,NaN
1988-05-19 11:30:00,"FOMC Rate Decision (Scheduled)",NaN,NaN,NaN,NaN,NaN,0.01,0.02,0.01,0.02,NaN,NaN,0,0,0.10825,0.22042,NaN
1988-05-20 11:30:00,"FOMC Rate Decision (Scheduled)",NaN,NaN,NaN,NaN,NaN,0,-0.01,0,0.01,NaN,NaN,0,0,0.04753,0.11858,NaN
1988-05-25 11:30:00,"FOMC Rate Decision (Unscheduled)",NaN,NaN,NaN,NaN,NaN,0.03,0.02,0.03,0.02,NaN,NaN,0.0098,0.01144,-0.00393,-0.19589,NaN
1988-05-26 11:30:00,"FOMC Rate Decision (Unscheduled)",NaN,NaN,NaN,NaN,NaN,0.03,0.04,0.01,0.01,NaN,NaN,0.00983,0.01148,-0.13366,-0.27554,NaN
1988-06-17 11:30:00,"FOMC Rate Decision (Unscheduled)",NaN,NaN,NaN,NaN,NaN,0.01,0.03,0.02,NaN,NaN,NaN,0,0.0037,-0.0518,-0.1285,NaN
1988-06-20 11:30:00,"FOMC Rate Decision (Unscheduled)",NaN,NaN,NaN,NaN,NaN,0,-0.02,-0.02,NaN,NaN,NaN,-0.00487,-0.00748,0.04463,0.03689,NaN
1988-07-01 11:30:00,"FOMC Rate Decision (Scheduled)",NaN,NaN,NaN,NaN,NaN,0.01,-0.01,0.01,0.01,NaN,0.00379,0.01426,0.01082,-0.07335,-0.14593,NaN
1988-07-19 11:30:00,"FOMC Rate Decision (Unscheduled)",NaN,NaN,NaN,NaN,NaN,0.03,0.03,0.02,0.01,NaN,0.00768,0.01464,0.00761,-0.28963,-0.40696,NaN
1988-07-20 11:30:00,"FOMC Rate Decision (Unscheduled)",NaN,NaN,NaN,NaN,NaN,0,0.01,0.02,0.02,NaN,0.00768,0.00975,0.0038,0.1301,0,NaN
1988-08-09 09:45:00,"FOMC Rate Decision (Unscheduled)",NaN,NaN,NaN,NaN,NaN,0.11,0.12,0.11,0.11,NaN,0.05003,0.02912,0.0187,-0.61641,-0.38936,NaN
1988-08-09 11:30:00,"FOMC Rate Decision (Unscheduled)",NaN,NaN,NaN,NaN,NaN,0.03,0.03,0.01,0.03,NaN,0.00773,0.00976,0.01133,-0.06006,0.03745,NaN
1988-08-17 11:30:00,"FOMC Rate Decision (Scheduled)",NaN,NaN,NaN,NaN,NaN,0,0.03,0.02,0.02,NaN,0.01556,0.01487,0.03109,-0.2335,-0.32514,NaN
1988-09-21 11:30:00,"FOMC Rate Decision (Scheduled)",NaN,NaN,NaN,NaN,NaN,-0.01,-0.01,-0.01,-0.01,NaN,-0.01149,-0.00957,-0.01093,0.09642,0.11007,NaN
1988-11-02 11:30:00,"FOMC Rate Decision (Scheduled)",NaN,NaN,NaN,NaN,0.03214,0,0.01,0.01,0.01,NaN,0.00756,0,0.0035,0.10404,0.16073,NaN
1988-11-07 11:30:00,"FOMC Rate Decision (Unscheduled)",NaN,NaN,NaN,NaN,NaN,0.01,0.03,0.03,0.03,NaN,0.00763,0.01428,0.00718,-0.16412,-0.09093,NaN
1988-11-08 11:30:00,"FOMC Rate Decision (Unscheduled)",NaN,NaN,NaN,NaN,NaN,0.02,0.03,0.04,0.03,NaN,0.01526,0.01426,0.02149,-0.07625,-0.09051,NaN
1988-12-15 11:30:00,"FOMC Rate Decision (Scheduled)",NaN,NaN,NaN,NaN,0.01937,0.03,0.06,0.03,0.05,NaN,0.03907,0.039,0.02186,0,-0.23333,NaN
1989-01-06 11:30:00,"FOMC Rate Decision (Unscheduled)",NaN,NaN,NaN,NaN,NaN,0.01,0.01,-0.01,-0.01,NaN,-0.00786,0,-0.00363,-0.03199,-0.08807,NaN
